,Symbol,Owner,Relationship,Date,Cost,Number of Shares,Value,Total Shares,Filing,Type
1,GORO,Perry Kimberly C,Director,"Jul 23, 2020",$4.73,4,19,25459,"Jul 24, 2020, 07:27 PM",buy
2,MACK,Andersen Eric,Director,"Jul 22, 2020",$3.11,177274,552086,819446,"Jul 24, 2020, 06:59 PM",buy
3,MACK,Levy Noah G.,Director,"Jul 22, 2020",$3.11,177274,552087,796365,"Jul 24, 2020, 06:59 PM",buy
4,OSG,"Saltchuk Resources, Inc.",10% Owner,"Jul 23, 2020",$2.47,834933,2062285,14115798,"Jul 24, 2020, 06:50 PM",buy
5,OSG,"Saltchuk Resources, Inc.",10% Owner,"Jul 22, 2020",$2.49,1352125,3366791,13280865,"Jul 24, 2020, 06:50 PM",buy
6,EDF,CRAIGE JAMES E,Executive Vice President,"Jul 23, 2020",$6.89,10000,68900,10000,"Jul 24, 2020, 05:40 PM",buy
7,EDF,CRAIGE JAMES E,Executive Vice President,"Jul 23, 2020",$6.96,3000,20880,3505,"Jul 24, 2020, 05:40 PM",buy
8,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 24, 2020",$8.27,10120,83709,82846,"Jul 24, 2020, 05:38 PM",buy
9,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 23, 2020",$8.41,1000,8414,72726,"Jul 24, 2020, 05:38 PM",buy
10,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 22, 2020",$8.14,3000,24430,71726,"Jul 24, 2020, 05:38 PM",buy
11,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 24, 2020",$8.25,3500,28875,85364,"Jul 24, 2020, 05:38 PM",buy
12,GMED,Douglas Robert Andrew,Director,"Jul 22, 2020",$47.75,690,32948,1390,"Jul 24, 2020, 05:00 PM",buy
13,FNB,Bena Pamela A,Director,"Jul 23, 2020",$7.63,2500,19073,39786,"Jul 24, 2020, 04:38 PM",buy
14,RICK,Elaine Johnson Martin,Director,"Mar 19, 2020",$7.00,143,1001,7221,"Jul 24, 2020, 04:35 PM",buy
15,RICK,Elaine Johnson Martin,Director,"Mar 16, 2020",$9.00,38,342,7078,"Jul 24, 2020, 04:35 PM",buy
16,SREV,"Edenbrook Capital, LLC",10% Owner,"Jul 23, 2020",$1.45,100,145,10875010,"Jul 24, 2020, 04:24 PM",buy
17,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 23, 2020",$4.00,3050,12200,856797,"Jul 24, 2020, 04:21 PM",buy
18,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 24, 2020",$4.00,200,800,856997,"Jul 24, 2020, 04:21 PM",buy
19,RVP,SHAW THOMAS J,President and CEO,"Jul 24, 2020",$9.83,300,2949,14562589,"Jul 24, 2020, 04:20 PM",buy
20,ATLO,Benson David W.,Director,"Jul 23, 2020",$19.00,200,3800,1949,"Jul 24, 2020, 04:19 PM",buy
21,WTFC,SWEENEY GARY D,Director,"Jul 23, 2020",$44.66,785,35058,6433,"Jul 24, 2020, 04:13 PM",buy
22,CASI,Zhang Larry,President,"Jul 22, 2020",$1.90,20153,38291,20153,"Jul 24, 2020, 04:05 PM",buy
23,CASI,He Wei-Wu,Chairman and CEO,"Jul 22, 2020",$1.90,1200000,2280000,7532347,"Jul 24, 2020, 04:03 PM",buy
24,CASI,He Wei-Wu,Chairman and CEO,"Jul 22, 2020",$1.90,2952426,5609609,4836523,"Jul 24, 2020, 04:03 PM",buy
25,ASA,Merk Alexander,COO,"Jul 24, 2020",$22.14,1270,28124,13355,"Jul 24, 2020, 03:44 PM",buy
26,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,50,65,9384,"Jul 24, 2020, 03:31 PM",buy
27,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,200,258,9334,"Jul 24, 2020, 03:31 PM",buy
28,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,100,129,9684,"Jul 24, 2020, 03:31 PM",buy
29,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,200,258,9584,"Jul 24, 2020, 03:31 PM",buy
30,FLUX,Cosentino John A Jr,Director,"Jul 24, 2020",$4.00,62500,250000,62500,"Jul 24, 2020, 02:32 PM",buy
31,RKFL,Rouf Henrik,10% Owner,"Apr 20, 2020",$4.00,15625,62500,2752418,"Jul 24, 2020, 01:19 PM",buy
32,RKFL,Rouf Henrik,10% Owner,"May 18, 2020",$4.00,36250,145000,2716168,"Jul 24, 2020, 01:19 PM",buy
33,RKFL,Rouf Henrik,10% Owner,"May 18, 2020",$4.00,36250,145000,2716168,"Jul 24, 2020, 11:27 AM",buy
34,RKFL,Rouf Henrik,10% Owner,"Apr 20, 2020",$4.00,15625,62500,2752418,"Jul 24, 2020, 11:27 AM",buy
35,TPL,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,"Jul 23, 2020",$568.80,14,7963,282849,"Jul 24, 2020, 11:16 AM",buy
36,RZLT,"HANDOK, INC.",10% Owner,"Jul 23, 2020",$0.30,187000,56511,93714587,"Jul 24, 2020, 10:01 AM",buy
37,RZLT,"HANDOK, INC.",10% Owner,"Jul 22, 2020",$0.28,250000,70750,93527587,"Jul 24, 2020, 10:01 AM",buy
38,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 22, 2020",$5.42,32732,177407,6191531,"Jul 24, 2020, 09:44 AM",buy
39,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 23, 2020",$5.48,87299,478399,6278830,"Jul 24, 2020, 09:44 AM",buy
40,CMGO,LAKEN GLENN B,CEO,"Jul 08, 2020",$0.01,20000,125,11940000,"Jul 24, 2020, 09:16 AM",buy
41,CMGO,LAKEN GLENN B,CEO,"Jun 10, 2020",$0.00,355000,1301,11855000,"Jul 24, 2020, 09:16 AM",buy
42,CMGO,LAKEN GLENN B,CEO,"Jul 14, 2020",$0.01,10000,55,11980000,"Jul 24, 2020, 09:16 AM",buy
43,CMGO,LAKEN GLENN B,CEO,"Jun 26, 2020",$0.00,30000,136,11920000,"Jul 24, 2020, 09:16 AM",buy
44,CMGO,LAKEN GLENN B,CEO,"Jul 17, 2020",$0.01,200000,1080,12263800,"Jul 24, 2020, 09:16 AM",buy
45,CMGO,LAKEN GLENN B,CEO,"Jul 13, 2020",$0.01,10000,57,11970000,"Jul 24, 2020, 09:16 AM",buy
46,CMGO,LAKEN GLENN B,CEO,"Jun 15, 2020",$0.00,10000,45,11890000,"Jul 24, 2020, 09:16 AM",buy
47,CMGO,LAKEN GLENN B,CEO,"Jul 16, 2020",$0.01,72000,387,12063800,"Jul 24, 2020, 09:16 AM",buy
48,CMGO,LAKEN GLENN B,CEO,"Jul 10, 2020",$0.01,20000,116,11960000,"Jul 24, 2020, 09:16 AM",buy
49,CMGO,LAKEN GLENN B,CEO,"Jun 12, 2020",$0.00,20000,84,11875000,"Jul 24, 2020, 09:16 AM",buy
50,CMGO,LAKEN GLENN B,CEO,"Jul 15, 2020",$0.01,11800,65,11991800,"Jul 24, 2020, 09:16 AM",buy
51,NTIC,Calderon Nancy E.,Director,"Jul 23, 2020",$8.60,1000,8600,1000,"Jul 24, 2020, 08:07 AM",buy
52,VOLT,GOODMAN BRUCE G,Director,"Jul 23, 2020",$1.46,5000,7300,122778,"Jul 23, 2020, 07:02 PM",buy
53,LEVI,McCormick Christopher J,Director,"Jul 22, 2020",$11.92,3786,45129,60115,"Jul 23, 2020, 05:58 PM",buy
54,NGM,COLUMN GROUP L P,Director,"Jul 22, 2020",$18.00,193,3474,1540264,"Jul 23, 2020, 05:44 PM",buy
55,NGM,COLUMN GROUP L P,Director,"Jul 22, 2020",$18.00,193,3474,1540264,"Jul 23, 2020, 05:39 PM",buy
56,ONCT,KISNER DANIEL L,Director,"Jul 21, 2020",$2.38,10000,23825,10000,"Jul 23, 2020, 05:00 PM",buy
57,ONCT,AKER HAZEL M,Legal Counsel,"Jul 21, 2020",$2.38,41972,99998,46987,"Jul 23, 2020, 05:00 PM",buy
58,JAMF,STROSAHL JOHN,Chief Operating Officer,"Jul 21, 2020",$26.00,7692,199992,68192,"Jul 23, 2020, 04:59 PM",buy
59,JAMF,PUTMAN JILL,Chief Financial Officer,"Jul 21, 2020",$26.00,11538,299988,75342,"Jul 23, 2020, 04:59 PM",buy
60,JAMF,LENDINO JEFF,General Counsel,"Jul 21, 2020",$26.00,3846,99996,3846,"Jul 23, 2020, 04:58 PM",buy
61,JAMF,KLAUSMEYER KEVIN,Director,"Jul 21, 2020",$26.00,9615,249990,27875,"Jul 23, 2020, 04:58 PM",buy
62,JAMF,JOHNSON SAMUEL GFALL,Chief Customer Officer,"Jul 21, 2020",$26.00,7692,199992,194485,"Jul 23, 2020, 04:58 PM",buy
