,Symbol,Owner,Relationship,Date,Cost,Number of Shares,Value,Total Shares,Filing,Type,Current_Price,200_Moving_Average
0,GORO,Perry Kimberly C,Director,"Jul 23, 2020",$4.73,4,19,25459,"Jul 24, 2020, 07:27 PM",buy,4.75,4.271900004148483
1,MACK,Andersen Eric,Director,"Jul 22, 2020",$3.11,177274,552086,819446,"Jul 24, 2020, 06:59 PM",buy,3.200000047683716,3.4068500006198885
2,MACK,Levy Noah G.,Director,"Jul 22, 2020",$3.11,177274,552087,796365,"Jul 24, 2020, 06:59 PM",buy,3.200000047683716,3.4068500006198885
3,OSG,"Saltchuk Resources, Inc.",10% Owner,"Jul 23, 2020",$2.47,834933,2062285,14115798,"Jul 24, 2020, 06:50 PM",buy,2.2699999809265137,2.042299999594688
4,OSG,"Saltchuk Resources, Inc.",10% Owner,"Jul 22, 2020",$2.49,1352125,3366791,13280865,"Jul 24, 2020, 06:50 PM",buy,2.2699999809265137,2.042299999594688
5,EDF,CRAIGE JAMES E,Executive Vice President,"Jul 23, 2020",$6.89,10000,68900,10000,"Jul 24, 2020, 05:40 PM",buy,6.860000133514404,10.265100004673004
6,EDF,CRAIGE JAMES E,Executive Vice President,"Jul 23, 2020",$6.96,3000,20880,3505,"Jul 24, 2020, 05:40 PM",buy,6.860000133514404,10.265100004673004
7,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 24, 2020",$8.27,10120,83709,82846,"Jul 24, 2020, 05:38 PM",buy,8.399999618530273,7.291700022220612
8,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 23, 2020",$8.41,1000,8414,72726,"Jul 24, 2020, 05:38 PM",buy,8.399999618530273,7.291700022220612
9,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 22, 2020",$8.14,3000,24430,71726,"Jul 24, 2020, 05:38 PM",buy,8.399999618530273,7.291700022220612
10,CCEL,PORTNOY DAVID,Co-Chief Executive Officer,"Jul 24, 2020",$8.25,3500,28875,85364,"Jul 24, 2020, 05:38 PM",buy,8.399999618530273,7.291700022220612
11,GMED,Douglas Robert Andrew,Director,"Jul 22, 2020",$47.75,690,32948,1390,"Jul 24, 2020, 05:00 PM",buy,48.439998626708984,50.39470006942749
12,FNB,Bena Pamela A,Director,"Jul 23, 2020",$7.63,2500,19073,39786,"Jul 24, 2020, 04:38 PM",buy,7.670000076293945,9.842100014686585
13,RICK,Elaine Johnson Martin,Director,"Mar 19, 2020",$7.00,143,1001,7221,"Jul 24, 2020, 04:35 PM",buy,11.279999732971191,15.949300034046173
14,RICK,Elaine Johnson Martin,Director,"Mar 16, 2020",$9.00,38,342,7078,"Jul 24, 2020, 04:35 PM",buy,11.279999732971191,15.949300034046173
15,SREV,"Edenbrook Capital, LLC",10% Owner,"Jul 23, 2020",$1.45,100,145,10875010,"Jul 24, 2020, 04:24 PM",buy,1.5700000524520874,1.4197000005841256
16,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 23, 2020",$4.00,3050,12200,856797,"Jul 24, 2020, 04:21 PM",buy,4.050000190734863,6.724500005245209
17,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 24, 2020",$4.00,200,800,856997,"Jul 24, 2020, 04:21 PM",buy,4.050000190734863,6.724500005245209
18,RVP,SHAW THOMAS J,President and CEO,"Jul 24, 2020",$9.83,300,2949,14562589,"Jul 24, 2020, 04:20 PM",buy,9.729999542236328,3.01349999666214
19,ATLO,Benson David W.,Director,"Jul 23, 2020",$19.00,200,3800,1949,"Jul 24, 2020, 04:19 PM",buy,19.049999237060547,23.645150003433226
