Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
A,Agilent Technologies Inc,$29.8B,Health Care,Life Sciences Tools & Services,0.75%,1.1
AA,Alcoa Corp,$2.4B,Materials,Metals & Mining,--,2.3
AAAIF,ALTERNATIVE INVESTMENT TRUST UNITS,$28.6M,,,--,0.3
AAALF,AAREAL BANK AG AKT,$808.7M,,,--,1.2
AACG,ATA Creativity Global(ADR),$39.7M,Consumer Discretionary,Diversified Consumer Services,--,2.3
AACH,AAC Holdings Inc,$961.0K,Health Care,Health Care Providers & Services,--,2.6
AACQU,Artius Acquisition Inc,$754.6M,,,--,--
AACS,"American Commerce Solutions, Inc.",$578.9K,Industrials,Road & Rail,--,-0.4
AAEEF,ALTAIR RESOURCES INC,$118.2K,Materials,Metals & Mining,--,3.7
AAGC,All American Gold Corp,$587.8K,Materials,Metals & Mining,--,0.2
AAGH,America Great Health,$131.5M,,,--,-1.1
AAIIQ,"Alabama Aircraft Industries, Inc.",$289.2K,Industrials,Aerospace & Defense,--,0.3
AAINF,ASIABASEMETALS INC,$8.3M,Materials,Metals & Mining,--,1.4
AAL,American Airlines Group Inc,$6.0B,Industrials,Airlines,--,1.6
AAMC,Altisource Asset Management Corp,$23.2M,Real Estate,Real Estate Management & Development,--,1
AAME,Atlantic American Corporation,$37.2M,Financials,Insurance,1.09%,0.2
AAN,"Aaron's, Inc.",$3.0B,Consumer Discretionary,Specialty Retail,0.36%,1.6
AAOI,Applied Optoelectronics Inc,$288.6M,Information Technology,Communications Equipment,--,2.1
AAON,"AAON, Inc.",$3.0B,Industrials,Building Products,0.65%,0.8
AAP,"Advance Auto Parts, Inc.",$10.3B,Consumer Discretionary,Specialty Retail,0.67%,1.3
AAPJ,AAP Inc,$267.1K,Industrials,Machinery,--,-1.7
AAPL,Apple Inc.,$1608.3B,Information Technology,"Technology Hardware, Storage & Peripherals",0.84%,1.2
AAPT,All American Pet Co Inc,$172.9K,Consumer Staples,Food Products,--,--
AASL,"America's Suppliers, Inc.",$335.3K,,,--,--
AASP,All-American Sportpark Inc,$1.3M,,,--,-0.7
AAT,"American Assets Trust, Inc",$1.6B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.05%,0.9
AATGF,ATI AIRTEST TECHNOLOGIES INC COM NEW,$642.6K,,,--,-0.8
AATP,Agape ATP Corp,$2.8B,Health Care,Health Care Providers & Services,--,--
AAU,Almaden Minerals Ltd. (USA),$69.2M,Materials,Metals & Mining,--,1.6
AAVVF,ADVANTAGE OIL & GAS LTD,$227.0M,Energy,"Oil, Gas & Consumable Fuels",--,2
AAWC,Alexandria Advantage Warranty Co,$2.1M,Information Technology,Semiconductors & Semiconductor Equipment,--,--
AAWW,"Atlas Air Worldwide Holdings, Inc.",$1.3B,Industrials,Air Freight & Logistics,--,1.7
AAXN,Axon Enterprise Inc,$5.5B,Industrials,Aerospace & Defense,--,0.7
AAXT,"Aamaxan Transport Group, Inc.",$3.2M,,,--,--
AB,Alliancebernstein Holding LP,$2.8B,Financials,Capital Markets,9.25%,1.5
ABAKF,ABERDEEN ASIA-PACIFIC INCM IVT SHS,$109.5M,,,9.21%,0.7
ABB,ABB Ltd (ADR),$55.2B,Industrials,Electrical Equipment,3.15%,1.2
ABBB,Auburn Bancorp Inc,$4.7M,Financials,Thrifts & Mortgage Finance,--,--
ABBV,AbbVie Inc,$172.4B,Health Care,Biotechnology,4.83%,0.8
ABBY,Abby Inc,$395.2K,Consumer Discretionary,Specialty Retail,--,1.5
ABC,AmerisourceBergen Corp.,$21.2B,Health Care,Health Care Providers & Services,1.62%,0.6
ABCB,Ameris Bancorp,$1.6B,Financials,Banks,2.67%,1.4
ABCE,ABCO Energy Inc,$19.0K,,,--,0.8
ABCP,AmBase Corporation,$8.1M,,,--,0.9
